"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","2048 Mobile QA","0","게임플레이","1","0","TW-004 타일 병합 시 점수 증가","0"
"0","2048 Mobile QA","0","앱 실행","1","0","TW-001 앱 실행 후 메인 화면 표시","0"
"0","2048 Mobile QA","0","화면 이동","1","0","TW-006 뒤로가기로 메인 화면 복귀","0"
"0","2048 Mobile QA","0","화면 이동","1","0","TW-007 이어하기로 게임 상태 복원","0"
"0","2048 Mobile QA","0","게임플레이","1","0","TW-005 재시작 시 점수 초기화","0"
"0","2048 Mobile QA","1","게임플레이","0","0","TW-003 스와이프로 타일 이동","0"
"0","2048 Mobile QA","0","앱 실행","1","0","TW-002 새 게임 시작","0"
